RAZON SOCIAL,RFC,Segmentos
INMOBILIARIA GARCIA RODRIGUEZ HERMANOS S A DE C V,IGR120523FV3,Oficinas e Inmobiliarias
INMOBILIARIA HERPSA S A DE C V,IHE080519NB4,Oficinas e Inmobiliarias
INDUSTRIA HOSPITALARIA INTERNACIONAL S.A DE C.V,IHI811015ET9,Manufactura Farmacéutica
SOCIEDAD INMOBILIARIA HOTELERA DE MEXICO SA DE CV,IHM981116UG3,Hoteles
INMOBILIARIA HYLY S.A. DE C.V.,IHY750523E42,Oficinas e Inmobiliarias
INSTITUTO DE INVESTIGACIONES ELECTRICAS,IIE751125JEA,Educación Privada
INSTITUTO DE INFORMATICA DE HUAUCHINANGO SC,IIH101018RN6,Educación Privada
"IMAGEN DE INMUEBLES, S.A. DE C.V.",IIN021018BE8,NC Vivienda Media
INMOBILIARIA JDF/ROM S.A.DE C.V.,IJD080718I18,Oficinas e Inmobiliarias
"INMOBILIARIA JUAN RACINE, S.A.",IJR750331HN7,Oficinas e Inmobiliarias
LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS EN MEXICO AR,IJS930831J80,Iglesias
INSTITUTO DE LIDERAZGO SIMONE DE BEAUVOIR AC,ILS000620745,Educación Privada
INTERLAKEN MAQUINARIA SA DE CV.,IMA150526SX2,Maquinaria y Equipo
INMOBILIARIA MEDISUR SA DE CV,IME930728DH1,Oficinas e Inmobiliarias
IGLESIA MEXICANA DEL EVANGELIO DE CRISTO PENTECOSTES A R,IME940210A2A,Iglesias
INSTITUTO DE MERCADOTECNIA Y PUBLICIDAD S.C.,IMP6710234V5,Educación Privada
IMPRESOS MAQUILADORA LOS REYES S.A.DE C.V.,IMR030422ETA,Manufactura Industria Textil
"INGENIERIA Y MANTENIMIENTO DEL SOCONUSCO, S.A. DE C.V.",IMS861226A76,Oficinas e Inmobiliarias
"INSTITUTO NACIONAL DE ESTUDIOS SUPERIORES EN DERECHO PENAL, A.C.",INE970917SY3,Municipios
INMOBILIAARQUI SA DE CV,INM040129KE0,Bancos
IGLESIA NACIONAL PRESBITERIANA CONSERVADORA DE MEXICO AR,INP9310188F6,Iglesias
IGLESIA NACIONAL PRESBITERIANA PRINCIPE DE PAZ AR,INP9905255YA,Iglesias
INMOBILIARIA ORRACA SA DE CV,IOR9308316BA,Oficinas e Inmobiliarias
INMOBILIARIA PASO SA DE CV,IPA680418143,Oficinas e Inmobiliarias
IGLESIA PENTECOSTES EL CAMINO LA VERDAD Y LA VIDA DE MEXICO,IPC930827TD9,Iglesias
INSTITUTO PEDAGOGICO DE EDUCACION INICIAL SC,IPE030724P13,Educación Privada
INNOVACION PEDAGOGICA SC,IPE030926S92,Educación Privada
INMOBILIARIA PLAZA GOLONDRINAS SA DE CV,IPG050603737,Oficinas e Inmobiliarias
INGENIERIA Y PROYECTOS INTEGRALES VEGA,IPI080812A53,NC Edificación Comercial
INGENIERIA Y PROYECTOS IAQ SA DE CV,IPI091106AL9,NC Edificación Comercial
INMOBILIARIA PIONER SA DE CV,IPI8501281Q6,Oficinas e Inmobiliarias
INGENIERIA Y PROYECTOS KRAKEN S.A DE C.V.,IPK930211876,NC Edificación Comercial
INSTITUTO PEDAGOGICO MEZTLI S.A.,IPM050610AW6,Educación Privada
INSTALACIONES Y PROYECTOS MEDINA MARTINEZ S.A DE C.V,IPM100309NL9,Oficinas e Inmobiliarias
INMOBILIARIA PRISMA XXI SA DE CV,IPX980714C65,Oficinas e Inmobiliarias
INDUSTRIAS QUIMICAS ALMAR SA DE CV,IQA900525PB7,Industria Química
IMPULSORA DE RESTAURANTES EL FOGONCITO SA DE CV,IRF920127AA7,Restaurantes
INDUSTRIAS Y REPRESENTACIONES GAR-VEL SA DE CV.,IRG5808055PA,NC Edificación Comercial
INMOBILIARIA REL DE SAN ANDRES SA DE CV,IRS141027DC8,Oficinas e Inmobiliarias
INMOBILIARIA SOULT Y GALIANA SA DE CV,ISA100212DP2,Oficinas e Inmobiliarias
INSTITUTO SUPERIOR DE ESTILISMO Y BELLEZA PROFESIONAL,ISE0107116G0,Educación Privada
ISEP ELECTRIC,ISE120716NU3,Calderas y Tanques Metálicos
INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS,ISS7607295W9,Hospitales Privados
INOVACIONES TEGNOLOGICAS ARSI DE MEXICO SA DE CV,ITA110314EA9,NC Edificación Comercial
INMOBILIARIA TORRUMAR SA DE CV,ITO111209FJ9,Oficinas e Inmobiliarias
INSTITUTO TECNOLOGICO SUPERIOR DE JESUS CARRANZA,ITS080804LN8,Educación Privada
INSTITUTO UNIVESITARIO METROPOLITANO SC,IUM840209IV1,Educación Privada
ICEL UNIVERSIDAD S.C.,IUN020806237,Educación Privada
INMOBILIARIA VALLE OSCURO SA DE CV,IVO020702UG6,Oficinas e Inmobiliarias
JASMAN AUTOMOTRIZ S.A DE C.V.,JAU0611063P1,Agencias Automotrices
IGLESIA LA LUZ DEL MUNDO AR JURIDICCION CENTRO,JCD940707B87,Iglesias
JURISDICCION CENTRO IGLESIA LA LUZ DEL MUNDO . A.R.,JCD940707B87,Iglesias
JJD CONSTRUCCIONES S.A. DE C.V.,JCO010207KE5,NC Edificación Comercial
JEMACO CONSTRUCCIONES S.A. DE.V.,JCO120209HKA,NC Edificación Comercial
JUSTICIA GENERO Y CIUDADANIA ESTRATEGICA A.C,JGC130516U5A,Municipios
LOS JAROCHOS DE NEXTENGO S. DE R.L. DE C.V.,JNE9202279F3,Restaurantes
JARDIN DE NIÑOS MODERNO TEPEYAC S.C.,JNM810603T91,Educación Privada
JAD PROYECTO Y CONSTRUCCIONES SA DE CV,JPY070528427,NC Edificación Comercial
JOYERIA URUAPAN S.A.DEC.V.,JUR911220HY4,Pequeños Negocios
JAMES WEST MEXICO SA DE CV,JWM990720395,Manufactura Industria Textil
KEVER AUTOPARTES SA DE CV,KAU070605V63,Autopartes
KRABSA CONSTRUCCIONES Y ACABADOS S.A. DE C.V.,KCA9110257I8,NC Edificación Comercial
KINDER GARDEN KRAYOLA AC,KGK990514GM4,Educación Privada
LABIXER S. A. DE C.V.,LAB150116CI2,Carpinterías
LAKVI SA,LAK801205N76,Estructuras Metálicas
LIZETTE CONSTRUCCIONES SA DE CV,LCO080228DN2,NC Edificación Comercial
LUVICA CONSTRUCCIONES SA DE CV,LCO080723TJ4,NC Edificación Comercial
LONAS Y CARPAS DE LOS SANTOS,LCS120222K49,Manufactura Industria Textil
L.B.DISEÑO Y CONSTRUCCIONES SA DE CV,LDC940913RY8,NC Edificación Comercial
LABORATORIO DIESEL TIDSA SA DE CV,LDT101216PA0,Industria Química
LOBO HORNOS INDUSTRIALES SA DE CV,LHI0510115X4,Herrerías
FREDDY ANTONIO LOPEZ TORT,LOTF6209223L8,Concesionarios Comex
LABORATORIOS PIZZARD SA DE CV,LPI600823J65,Manufactura Farmacéutica
LABORATORIOS RUILAND SA DE CV,LRU810824S7A,Manufactura Farmacéutica
"LANDARTA SERVICIOS, S.A. de C.V.",LSE1007088R9,Concesionarios Comex
MAXIM ALIMENTOS SA DE CV,MAL020909K27,Manufactura Alimentos
MAQUINARIA AGRICOLA DE QUERETARO SA DE CV,MAQ880708BM7,Maquinaria y Equipo
MATERIAL Y ACERO SANTO DOMINGO SA DE CV,MAS120126JY5,Acero
MUNICIPIO DE AMATITLAN VERACRUZ,MAV6212015M4,Municipios
"MUEBLES PARA BAÑO , S . A. DE C. V.",MBA840712F58,NC Edificación Comercial
MUEBLES PARA BAÑO S.A DE C.V,MBA840712F58,NC Edificación Comercial
MUEBLES BELMONT S.A DE C.V,MBE870525PA6,Carpinterías
MUNICIPIO DE CARLOS A. CARRILLO.VER.,MCC970101M35,Municipios
"MEXICANA DE CONSTRUCCIONES G&M, S.A. DE C.V.",MCG080328K86,NC Edificación Comercial
MUEBLES Y COCINAS JAZMIN S.A.DE.C.V.,MCJ090414I80,Carpinterías
MAHEJA CONSTRUCCIONES S.A. DE C.V,MCO0204014W5,NC Edificación Comercial
MORIAH CONSTRUCCIONES SA DE CV,MCO140519659,NC Edificación Comercial
MICIL CONSTRUCCIONES Y REFORMAS SA DE CV,MCR140515Q32,NC Edificación Comercial
"MEGA DESIGN , S.A. DE C.V.",MDE0605184RA,Bancos
MADERAS Y DERIVADOS SANCHEZ S.A. DE C.V.,MDS900821RM3,Carpinterías
"MSF ELECTRO CONSTRUCCIONES EN MEDIA Y BAJA TENCION, S.A. DE C.V.",MEC101213EY1,NC Edificación Comercial
MULTISERVICIOS DEEQUIPO ELECTRONICO Y COMPUTO SA. DE. CV.,MEE970825ND4,Maquinaria y Equipo
INGENIERIA CONSTRUCCION Y ARRENDAMIENTO SA DE CV,MEFR8009168S,NC Edificación Comercial
MONTACARGAS Y ELEVADORES INDUSTRIALES MIE S DE RL DE CV,MEI140619IX1,Carrocerías y remolques
MANTENIMIENTO DE EQUIPO Y MAQUINARIA S.A. DE C.V.,MEM8902238D6,Maquinaria y Equipo
MAQUILADOS FRONTERIZOS DEL NORTE SA DE CV,MFN031210AT9,Manufactura Industria Textil
MISIONEROS DE GUALUPE AR,MGU940314CA2,Iglesias
MAQUINARIA HERPA SA DE CDV,MHE140728533,Maquinaria y Equipo
MUNICIPIO DE HUETAMO MICH.,MHM8501016A8,Municipios
MOVIMIENTO IGLESIA EVANGELICA PENTECOSTES INDEPENDIENTE A.R,MIE930708MJ9,Iglesias
MUNICIPIO DE LANDA DE MATAMOROS QUERETARO,MLM850101G68,Municipios
MM CONSTRUCCIONES SA DE CV,MMC880829M99,NC Edificación Comercial
MONTACARGAS Y MAQUINAS INDUSTRIALES ALDOMO SA DE CV,MMI0207048HA,Carrocerías y remolques
"M Y M STUDIO, SC",MMS970124NP6,Educación Privada
MODATELAS SAPI DE C.V.,MOD041014KI3,Departamentales
MUSEO DEL OBJETO DEL OBJETO AC,MOO100812BF5,Museos
MR PINTURAS Y RECUBRIMIENTOS LA LUNA SA DE CV,MPR140218880,Concesionarios Comex
MOTEL QUINTA BUGAMBILIAS S.A. DE C.V.,MQB980729E11,Hoteles
"MANTENIMIENTO Y REMODELACION PARA COORPOTATIVOS, S.A. DE C.V.",MRC030422AFA,NC Edificación Comercial
MALACATES Y REFACCIONES PARA DESAZOLVE SA DE CV,MRD980213376,Pequeños Negocios
MADERAS Y TABLEROS MICHOMEX SA DE CV,MTM1212198Z9,Carpinterías
"NACIONAL DE COMBUSTIBLES Y LUBRICANTES, S.A. DE C.V.",NCL150130CI2,Gasolineras
NIDO CONSTRUCCIONES S . A DE C . V,NCO0211138NA,NC Edificación Comercial
NIDO CONSTRUCCIONES,NCO0211138NA,NC Edificación Comercial
NIDO CONSTRUCCIONES S.A DE C.V,NCO0211138NA,NC Edificación Comercial
90 CONSTRUCCIONES SA DE CV,NCO1004151C8,NC Edificación Comercial
NUEVA ESCUELA JUSTO SIERRA AC,NEJ8208102E0,Educación Privada
"NEGOCIACION INDUSTRIAL CARVID, S.A DE C.V",NIC900618N19,NC Edificación Comercial
NOVALIMENTOS DE MEXICO S DE RL DE CV,NME081219RG7,Manufactura Alimentos
"ODAPAS DEL MUNICIPIO DE IXTAPALUCA, EDO. DE MEX.",OAP911017317,Municipios
OPERADORA Y ADMINISTRADORA SW S.A. DE C.V.,OAS050406RT6,Oficinas e Inmobiliarias
OPERADORA DE COLEGIOS AGB AC,OCA100927R52,Educación Privada
"OBRAS Y CONSTRUCCIONES DIARAM, SA DE CV",OCD090218RS3,NC Edificación Comercial
OPERADORA CENTRAL DE ESTACIONAMIENTO S.A.P.I. DE C.V,OCE9412073L3,Oficinas e Inmobiliarias
DE ORIENTE COLEGIO J.P. S.C.,OCJ040311CT7,Educación Privada
"OVYCO CONSTRUCCIONES, S.A. DE C.V.",OCO051021QZ9,NC Edificación Comercial
OPERACIONES CAPILARES PETROLERAS SA DE CV,OCP120607SV6,Petróleo y Gas
OPERADORA Y COMERCIALIZADORA DE ZACATLAN SA. DE CV.,OCZ080312ILA,Hoteles
OBRADOR Y EMPACADORA LA BARCA S.A DE C.V,OEB850803CM1,Manufactura Alimentos
OPERADORA DE ESTACIONES DE SERVICIO 20-20 S.A DE C.V,OES070503PZ1,Gasolineras
OMEGA EMPRESAS UNIDAS SA DE CV,OEU990720LH4,Hospitales Privados
ONE FACE MARKETING SERVICES S DE RL DE CV,OFM1201317R5,Agencias Publicidad
OPERADORA GASTRONOMICA AGUA Y SAL SA DE CV.,OGA1006146M3,Agua
OPERADORA DE HOTELES LA MOA SA DE CV,OHM000524GP9,Hoteles
ONSITE LABORATORIES DE MEXICO SA DE CV,OLM960718GLA,Manufactura Farmacéutica
OPERADORA OMX S A DE C V,OOM960429832,Departamentales
PROMOVICA S.A.DE C.V.,OOM960429832,Departamentales
OBRAS Y PROYECTOS IME SA DE CV,OPI110802UY2,NC Edificación Comercial
OBRAS PROYECTOS Y SISTEMAS S.A C.V,OPS91040588A,NC Edificación Comercial
OPERADORA DE RESTAURANTES Y BARES LA UNICA DE GUERRERO S.A DE C.V.,ORB9603207GA,Restaurantes
"OPERADORA DE RESTAURANTES DURAZNOS, S.A. DE .V.",ORD000301QY5,Restaurantes
OPERADORA DE SERVICIOS ROSENDO PEREZ SA DE CV,OSR890601LB1,Oficinas e Inmobiliarias
OPERADORA VIPS S DE RL DE CV.,OVI800131GQ6,Restaurantes
PERFILES Y ACEROS CUAJIMALPA SA DE CV,PAC0405242H4,Acero
PROCESADORA DE ALIMENTOS CORREGIDORA S.A. DE C.V.,PAC130305HT5,Manufactura Alimentos
PINTURAS AVENIDA CENTENARIO SA DE CV,PAC140813LS4,Concesionarios Comex
PRESEA ACESORIA EN CALIDAD SA DE CV,PAC9901126G9,Educación Privada
PACO ALIMENTOS SA DE CV,PAL010524PJ5,Manufactura Alimentos
PROYECTOS Y CONSTRUCCIONES FARO SA DE CV,PCF980203UR4,Acero
PROYECTOS Y CONSTRUCCIONES FARO S.A. DE C.V.,PCF980203UR4,Acero
"PLANIFICACIONES Y CIMENTACIONES, S. A DE C. V.",PCI030425RD5,NC Edificación Comercial
PROYECTO Y CONSTRUCCIONES INTEGRALES EXHIBA S.A. DE C.V.,PCI140929CH4,Acero
PINTURAS COLEGIO MILITAR,PCM130315HS1,Concesionarios Comex
PROCARD CONSTRUCCIONES S.A DE C.V.,PCO150610E10,NC Edificación Comercial
PINTURAS CONTIMEX SA DE CV,PCO8608015SA,Industria Química
PALERMO CONSTRUCCIONES SA DE CV,PCO980910RX9,NC Edificación Comercial
"PROMOTORA Y DESARROLLADORA ANAIRAM, S. A. DE C. V.",PDA090801DW0,Oficinas e Inmobiliarias
PANIFICADORA DON BETO S.A DE C.V,PDB070206677,Manufactura Alimentos
PLANEACION Y DIRECCION CONSTRUCTORA SA DE CV,PDC880314V20,NC Edificación Comercial
PLANEACION Y DIRECCION CONSTRUCTORA S.A DE C.V,PDC880314V20,NC Edificación Comercial
DAIKER INMOBILIARIA S.A.P.I DE C.V.,PDS020725EAA,NC Vivienda Media
PASTELES LA ESPERANZA ERMITA S.A DE C.V.,PEE0001264J0,Manufactura Alimentos
PLANEACION ESTRATEGICA INMOBILIARIA SA DE CV,PEI990323B51,Oficinas e Inmobiliarias
PROTEINAS Y ENERGETICOS DE LAGOS SA DE CV,PEL0210214I1,Manufactura Alimentos
PROMOTORES DE LA EDUCACION OLOF PALMES S.C.,PEO891206S38,Educación Privada
PATRONATO DE LAS ESCUELAS PRIMARIAS DE EXTENCION MEXICO A.C,PEP7205086C7,Educación Privada
PARQUE ECUESTRE RANCHO ALEGRE SA DE CV,PER050912G47,Parques Recreativos
PROYECTO EDIFICAION Y MANTENIMIENTO GRUPO MS DE RL DE CV,PEY120530AP3,NC Edificación Comercial
PUERTAS FINAS DE MADERA OBSERVATORIO S.A.DE C.V.,PFM001113JB0,Carpinterías
PROVINCIA FRANCISCANA DEL SANTO EVANGELIO DE MEXICO A.R.,PFS931208AU0,Iglesias
"PROMOTORA HOTELERA TACUBA, S.A. DE C.V.",PHT0103074L9,Hoteles
PROCESADORA INDUSTRIAL DEL ACERO SA DE CV,PIA860915113,Acero
PRIMERA IGLESIA BAUTISTA DE CIUDAD SATELITE AR,PIB951103LT5,Iglesias
PANIFICADORA ICIAR S.A DE C.V.,PIC8107211TA,Manufactura Alimentos
PUBLICIDAD INTEGRAL MEZA S DE RL DE CV,PIM120727UI7,Agencias Publicidad
POLYNER INDUSTRIAL DE MEXICO SA DE CV,PIM990420R70,Industria Química
PINTURAS INDUSTRIALIZADAS PLASTIFICADAS SA DE C V,PIP9001198T0,Industria Química
"PROMOTORA INMOBILIARIA RESIDENCIAL MICHOACANA, S.A. DE C.V.",PIR821202264,Oficinas e Inmobiliarias
PINTURAS INDUSTRIALES SABA S DE RL DE CV,PIS1312199D3,Concesionarios Comex
AUDITORIA SUPERIOR GUBERNAMENTAL DEL CONGRESO DEL,PLE970417456,Municipios
PERFILES Y LAMINAS A LA MEDIDA S.A. DE C.V.,PLM8706097GA,Acero
PANIFICADORA LA LOMA SA DE CV,PLO8106059X2,Manufactura Alimentos
PARQUE MOVIL ATRACCIONES ESPECTACULARES S.A DE C.V.,PMA920212822,Pequeños Negocios
PESCADOS Y MARISCOS LUBASA S.A. DE C.V.,PML860820872,Restaurantes
PARROQUIA DE NUESTRA SEÑORA DE GUADALUPE SALUD DE LOS ENFERMOS EN MONTERREY NL AR,PNS030909PB1,Iglesias
PINTORES Y PINTURAS Y EQUIPOS PROFESIONALES S.A DE C.V.,PPE890429K2A,Industria Química
PROMOCIONES QUIMICAS Y PETROQUIMICAS SA DE CV,PQP950608486,Industria Química
PREMIUM BRANDS S. DE RL DE CV,PRB100802H20,Restaurantes
PROVEDUCA S.C.,PRO080319T5A,Educación Privada
PINTURAS Y SOLVENTES DE LA CUENCA S DE R.L DE C.V,PSC831228NK9,Industria Química
PUBLICIDAD Y SOLUCIONES GREEN SA DE CV,PSG061123PQ9,Tiendas Conveniencia Franquicia
PROMOTORA VEREDA DEL PEDREGAL S.A. DE C.V.,PVP941018JM9,Hoteles
PROYECTOS Y CONSTRUCCIONES ALTA GAMA SA DE CV,PYC120303A54,Acero
544 INMOBILIARIA SA DE CV,QCC060731D64,NC Vivienda Media
QUIRINO'S CONSTRUCCIONES ESTRUCTURAS METALICAS Y MANTENIMIENTO INDUSRIAL S.A DE C.V,QCE130822DN4,Estructuras Metálicas
QUIFER CONSTRUCCIONES SA DE CV,QCO140220E22,NC Edificación Comercial
QUIMICA Y REPRESENTACIONES EGLOFF SSA DE CV,QRE830308H45,Industria Química
QUIMICA Y SISTEMAS PARA EL MANTENIMIENTO DEL AGUA S.A. DE C.V.,QSM050210T13,Industria Química
REFACCIONES Y ACCESORIOS ESPECIALISADOS S.A. DE C.V.,RAE010620C25,Pequeños Negocios
RM CARPINTERIA DE ALUMINIOS S.A DE C.V,RCA050316H79,Carpinterías
RATE CONSTRUCCION Y AUTOMATIZACION SA DE CV,RCA110817AK4,NC Edificación Comercial
RELOJES CENTENARIOS S.A DE C.V.,RCE850212P64,Manufactura Electrónica
RADIOMASTER COMUNICACIONES S.A. DE C.V.,RCO0601254U7,Radió
ROEL COMERCIALIZADORA S.A. DE C.V.,RCO880603M97,NC Edificación Comercial
REYES GAS S.A DE C.V,RGA860630613,Gaseras
RELAMPAGO GRUPO CONSTRUCTOR INMOBILARIO SA DE CV,RGC041118Q6A,Carpinterías
RESTAURANTE EL MONASTERIO DEL CARMEN SA DE CV,RMC821004644,Restaurantes
"ROAS MERCADOTECNIA, S.A. DE C.V.",RME090511QM6,Agencias Publicidad
REPRESENTACIONES Y MERCADOTECNIA SANTORINI,RMS011022721,Agencias Publicidad
RMV EQUIPOS S DE RL DE CV,RMV140313F15,Maquinaria y Equipo
CONSTRUCTORA Y EDIFICADORA L Y H S.A. DE C.V.,ROPF690901BL,NC Hospitales y clínicas
RESIDENCIAL PARQUES GDL SAPI DE CV.,RPG110830SZ5,NC Vivienda Lujo
REACTIVOS QUIMICOS Y EQUIPOS DE MICHOACAN S A DE C V,RQE101223FI1,Industria Química
"RODRIGUEZ RIOS CONSTRUCCIONES, S.A DE C.V",RRC110308HS9,NC Edificación Comercial
"ROCA REFACCIONES, S.A.DEC.V.",RRE9208038C4,Pequeños Negocios
REFACCIONARIA ROGELIO S.A DE C.V,RRO791121AX4,Pequeños Negocios
RED. SIGLO XXI S.A DE C.V.,RSX0304091S7,Gasolineras
RESTAURANTES TOKS S.A.DE C.V.,RTO840921RE4,Restaurantes
REMOLQUES Y TANQUES DE TEXCOCO S.A DE S.V,RTT0804186R4,Carrocerías y remolques
REFACCIONES VALVULAS Y CONEXIONES DE INOXIDABLE SA DE CV,RVC020715A65,Pequeños Negocios
STRUCPIPE DEACERO S.A. DE C.V.,SAC1009014KA,Acero
"SEP, ADMINISTRACION FEDERAL DE SERVICIOS EN EL DISTRITO FEDERAL",SAF121101UT3,Educacion Publica
ESCUELA SECUNDARIA N. 76 P T MANUEL GAMIO,SAF121101UT3,Educacion Publica
SEP ADMINISTRACION FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,SAF121101UT3,Educacion Publica
"ESC. SEC. Nº 165 ""PRESIDENTE SALVADOR ALLENDE "" T.M.",SAF121101UT3,Educacion Publica
ESC. SEC. 266 TEOTIHUACAN,SAF121101UT3,Educacion Publica
SISTEMAS DE ARNESES K&S MEXICANA S A DE C V,SAK960514KC5,Autopartes
"SERVILLANTAS DE ALTAMIRANO, S.A. DE C.V.",SAL900809IB7,Pequeños Negocios
SUMINISTROS EN ACEROS DE TOLUCA S.A. DE C.V.,SAT0708234B9,Acero
SUMINISTROS EN ACEROS DE TOLUCA SA DE CV,SAT0708234B9,Acero
SERVICIO BEGONIA SA DE CV,SBE921216JS3,Gasolineras
SAN BERNARDINO DE SIENA XOCHIMILCO CO DF AR,SBS941214QQ1,Iglesias
JESUS NUÑEZ QUINTANA,SCA140313CF7,Herrerías
SERVICIOS DE CONSTRUCCION Y ACABADOS CONSTRUYE MEXICO SA DE CV,SCA140313CF7,Herrerías
SISTEMAS Y COMUNICACIONES GAYTAN MEDINA SA DE CV,SCG1107143B0,Pequeños Negocios
SERVICIO CIENEGUITAS S.A. DE C.V.,SCI010709FM4,Gasolineras
SUITE CAMPESTRE DE MORELIA S.A. DE C.V.,SCM920408IY5,Hoteles
SUPPAPE COMERCIALIZADORA SA DE CV,SCO070130GX4,Pequeños Negocios
STEEL-O CONSTRUCCIONES SA DE CV,SCO080908PF5,NC Edificación Comercial
SUPER CENTRO REFACCIONARIO S A DE C V,SCR911212EL6,Pequeños Negocios
SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL MUNICIPIO DE JUAREZ,SDI850921RG4,Oficinas e Inmobiliarias
S.D.N. HOSPITAL MILITAR DE ZONA DE TEMAMATLA MEXICO,SDN8501014D2,Municipios
SDN TIENDA SEDENA 1-13,SDN8501014D2,Municipios
SDN CAFETERIA 2/O REGIMIENTO DE ARTILLERIA,SDN8501014D2,Municipios
"SECRETARIA DE LA DEFENSA NACIONAL, U.H.M. 1-A-3 CHIHUAHUA",SDN8501014D2,Municipios
SDN 3/ ER REGIMIENTO BLINDADO DE RECONOCIMIENTO,SDN8501014D2,Municipios
SDN CTEL GRAL 37/a ZONA MILITAR,SDN8501014D2,Municipios
SDN CONST UHM SAT LUCIA 3,SDN8501014D2,Municipios
SDN9/O.BATALLON DE INFANTERIA,SDN8501014D2,Municipios
SALUD DIGNA PARA TODOS IAP,SDT031013132,Hospitales Privados
SERVICIOS EDUCATIVOS INTEGRALES S.C,SEI761129QL7,Educación Privada
ESCUELA BEATRIZ GURRERO VDA.DE VARELA,SEI920604D7A,Educación Privada
ESCUELA SECUNDARIA LEYES DE REFORMA,SEI920604D7A,Educacion Publica
ESC.PRIMARIA SOR JUANA INES DE LA CRUZ C.C.T 15DPR1257E,SEI920604D7A,Educacion Publica
SERVICIOS EDUCATIVOS IINTEGRADOS AL ESTADO DE MEXICO,SEI920604D7A,Educacion Publica
ESCUELA PRIMARIA GABRIEL RAMOS MILLAN CCT,SEI920604D7A,Educacion Publica
SERVICIOS ESPECIALIZADOS EN LINEAS DE FLUIDOS SA DE CV,SEL0608314F3,Pequeños Negocios
SISTEMAS Y EQUIPOS DE LUBRICACION SA DE CV,SEL8612196R5,Maquinaria y Equipo
SERVICIOS ECOLOGICOS MUNICIPALES SA,SEM950830328,Municipios
ESCUELA PRIMARIA RUR.FED. JOSE MARIA MORELOS,SEP210905778,Educacion Publica
SEP DGETI CETIS Nº 29,SEP210905778,Educacion Publica
CECATI 171,SEP210905778,Educacion Publica
SEP-DGETI CETIS-10,SEP210905778,Educacion Publica
SECRETARIA DE LA EDUCACION PUBLICA,SEP210905778,Educacion Publica
SEP/DGCFT/CECATI#48,SEP210905778,Educacion Publica
SAAD GLOBAL MARKETING SA DE CV,SGM130903KC0,Agencias Publicidad
SECRETARIA DE GOBERNACION ORGANOADMINISTRATIVO DESCONCENTRADO POLICIA FEDERAL,SGO130103UJ4,Seguridad Nacional
SUPER HOSPITAL DE CALZADO S.A DE C.V,SHC7309103D3,Hospitales Privados
SOLUCIONES HOSPITALARIAS INTEGRALES SA. DE CV.,SHI031104U6A,Hospitales Privados
SERVICIOS DE INGENIERIA BARON S.A DE C.V.,SIB131107C90,NC Edificación Comercial
SERVICIOS INTEGRALES DE CALIBRACION .S.A.DE C.V.,SIC120903V75,Pequeños Negocios
SISTEMA INTEGRAL DE CONTABILIDAD CCR Y ASOC.S.C-,SIC890921Q44,Hospitales Privados
SUPER MERCADOS INTERNACIONALES HEB S.A. DE C.V.,SIH9511279T7,Autoservicios
SERVICIOS INTEGRALES DE MORELOS SA DE CV,SIM920219C83,Pequeños Negocios
SERVICIO INTEGRAL DE PLAGAS SA DE CV,SIP9608061R4,Oficinas e Inmobiliarias
SALCHICHAS Y JAMONES DE MEXICO SA DE CV,SJM880607FU8,Manufactura Alimentos
SERVICIO KAFEGO SA DE CV,SKA0409078V2,Petróleo y Gas
SECRETARIA DE MARINA - HOSPITAL NAVAL CAMPECHE,SMA850101TQ4,Marino
SISTEMA MUNICIPAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA LA PAZ,SMD870101MDA,Municipios
SISTEMA MUNICIPAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA ZUMPANGO,SMD940801GI2,Municipios
SISTEMA MUNICIPAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DE TEOLOYUCAN,SMD950906TI3,Municipios
SISTEMA MUNICIPAL DIF. EN VILLA VICTORIA,SMD960101479,Municipios
STELLA MARIS INMOBILIARIA PROYECTOS Y COSTRUCCIONES S.A. DE C.V.,SMI140707MJ8,Oficinas e Inmobiliarias
SINDICATO DE MAESTROS AL SERVICIO DEL ESTADO DE MEXICO,SMS670512LC5,Educacion Publica
SERVICIO PARA MAQUINARIA URBANA Y FORANEA SA DE CV,SMU890309G60,Maquinaria y Equipo
SINDICATO NACIONAL DE TRABAJADORES DE CAPUFE,SNT650806LJ1,Educacion Publica
SINDICATO NACIONAL DE TRABAJADORES DEL SEGURO SOCIAL SECCION XXI,SNT921106517,Hospitales Privados
SONIGAS S.A. DE C.V.,SON990511MI0,Gaseras
SECUNDARIA TECNICA 24,SPC130227L99,Educacion Publica
SECRETARIA DE PLANEACION Y ADMINISTRACION DE FINANSAS,SPC130227L99,Municipios
"SERVICIOS PROFESIONALES JH, S.A DE C.V",SPJ050801JF1,Educación Privada
SERVICIO PORTOMARIN S.A. DE C.V.,SPO061116FB7,Gasolineras
SERVICIO PORTOMARIN S.A DE C.V,SPO061116FB7,Gasolineras
SONOMEX PUBLICIDAD S.A. DE C.V.,SPU920708K99,Agencias Publicidad
